0,prom_ap_cierre,tendencia
20100716,0.16345,-0.00054
20100719,0.16469,-0.0005
20100720,0.16469,0.0
20100721,0.16469,0.0
20100722,0.16422,0.0
20100723,0.1622,-0.00062
20100726,0.16345,-0.00082
20100727,0.16492,-0.00113
20100728,0.16267,-0.00162
20100729,0.16213,-0.00165
20100730,0.16174,-0.00078
20100802,0.16127,0.00091
20100803,0.15747,0.00185
20100804,0.15615,0.00113
20100805,0.15607,-0.0004
20100806,0.15809,-0.00137
20100809,0.16104,-0.00091
20100810,0.1629,0.00088
20100811,0.15933,0.00114
20100812,0.15693,0.00044
20100813,0.15716,-0.00031
20100816,0.15941,-0.0007
20100817,0.16251,-0.00067
20100818,0.15995,-0.00119
20100819,0.1591,-0.00138
20100820,0.15957,-0.00088
20100823,0.15918,0.0
20100824,0.15654,0.00064
20100825,0.15468,0.00116
20100826,0.15491,0.00152
20100827,0.15561,0.00134
20100830,0.15615,0.00056
20100831,0.15724,-0.00035
20100901,0.15988,-0.00027
20100902,0.16135,0.00053
20100903,0.16081,0.00091
20100907,0.15957,0.00072
20100908,0.15902,0.00079
20100909,0.16088,0.00065
20100910,0.16282,0.00106
20100913,0.1622,0.0013
20100914,0.16197,0.00129
20100915,0.16523,0.00074
20100916,0.16453,-0.00028
20100917,0.16624,-0.00045
20100920,0.16795,0.00077
20100921,0.16996,0.00307
20100922,0.16639,0.00348
20100923,0.16562,0.00232
20100924,0.16787,0.00012
20100927,0.17307,-0.00167
20100928,0.17803,-0.00158
20100929,0.17796,-0.00082
20100930,0.17702,0.0
20101001,0.17415,0.00065
20101004,0.17159,0.00142
20101005,0.17276,0.00202
20101006,0.17361,0.00242
20101007,0.17322,0.00236
20101008,0.17462,0.00213
20101011,0.17935,0.00307
20101012,0.18067,0.00332
20101013,0.1823,0.00295
20101014,0.18494,0.0028
20101015,0.18789,0.00187
20101018,0.19324,0.00186
20101019,0.19475,0.00198
20101020,0.19627,0.00388
20101021,0.20038,0.00594
20101022,0.19976,0.00503
20101025,0.20232,0.00412
20101026,0.20519,0.00168
20101027,0.21706,-0.00022
20101028,0.22211,0.00078
20101029,0.219,0.00119
20101101,0.22482,0.00216
20101102,0.22412,0.00184
20101103,0.21846,-0.00079
20101104,0.22606,-0.00098
20101105,0.22979,-0.00071
20101108,0.22925,-0.00128
20101109,0.22606,-0.00282
20101110,0.22397,-0.0046
20101111,0.22754,-0.00304
20101112,0.22498,-0.00013
20101115,0.21916,0.00261
20101116,0.21404,0.00433
20101117,0.21,0.00698
20101118,0.21435,0.01156
20101119,0.21838,0.01321
20101122,0.22288,0.01031
20101123,0.22738,0.00582
20101124,0.24476,0.00277
20101126,0.26525,0.00285
20101129,0.26998,0.00263
20101130,0.26634,0.00037
20101201,0.27332,-0.00247
20101202,0.27743,-0.00424
20101203,0.27867,-0.00477
20101206,0.27681,-0.00395
20101207,0.27549,-0.00262
20101208,0.26665,-0.00403
