fecha,apertura,maximo,minimo,ultima
20170614,376.95,377.00,365.00,365.00
20170613,373.50,376.00,370.00,375.95
20170612,375.00,382.00,372.00,373.50
20170609,383.00,383.00,375.00,377.00
20170608,390.00,392.00,380.25,383.95
20170607,397.00,397.00,388.55,389.00
20170606,389.50,398.00,388.00,395.00
20170605,398.50,400.00,389.00,393.50
20170602,404.95,405.00,398.50,399.90
20170601,406.50,409.50,404.80,405.80
20170531,401.95,401.95,391.50,399.00
20170530,404.00,404.90,396.95,403.95
20170529,402.00,414.40,395.05,411.00
20170526,391.20,403.00,391.20,402.00
20170524,387.00,392.00,387.00,391.60
20170523,392.90,392.90,370.00,387.00
20170522,390.00,390.00,385.50,388.25
20170519,383.35,389.95,383.35,389.00
20170518,359.00,378.00,359.00,377.80
20170517,379.95,380.00,377.00,378.75
20170516,381.75,383.25,375.50,381.00
20170515,378.00,382.70,378.00,381.00
20170512,378.50,382.00,378.00,379.00
20170511,380.00,380.00,371.00,373.95
20170510,380.00,388.40,378.50,383.00
20170509,370.00,373.00,365.00,370.00
20170508,375.00,376.00,364.50,373.00
20170505,380.00,380.90,376.50,379.00
20170504,390.80,390.80,372.40,379.90
20170503,394.15,398.95,391.75,392.00
20170502,401.00,401.00,393.00,394.15
20170428,395.00,402.00,395.00,402.00
20170427,392.00,394.50,388.00,394.25
20170426,396.50,399.00,392.00,392.00
20170425,400.00,400.00,392.00,396.50
20170424,397.55,401.00,397.55,400.00
20170421,394.00,396.00,390.10,396.00
20170420,391.00,395.00,388.00,394.00
20170419,393.00,393.00,383.00,384.60
20170418,394.10,395.10,390.05,392.00
20170417,395.30,396.50,391.05,395.10
20170412,394.10,400.00,388.05,395.30
20170411,391.80,395.00,390.30,393.80
20170410,391.00,396.95,390.45,391.80
20170407,393.00,395.00,389.00,389.00
20170406,386.70,393.70,386.50,391.00
20170405,397.50,399.00,382.50,386.00
20170404,385.00,398.00,384.15,397.00
20170403,381.10,385.90,380.00,384.00
20170331,374.00,377.00,371.00,375.00
20170330,370.10,376.00,368.00,375.00
20170329,373.00,374.00,369.00,369.00
20170328,367.45,380.00,360.00,373.00
20170327,366.00,369.00,363.05,367.45
20170323,365.20,376.00,361.00,366.00
20170322,363.00,366.50,359.00,365.00
20170321,365.00,368.00,358.20,363.00
20170320,362.00,373.10,362.00,370.50
20170317,365.25,368.85,357.50,362.00
20170316,349.00,365.50,349.00,364.25
20170315,336.00,347.50,331.50,347.00
20170314,329.75,338.50,328.00,337.25
20170313,325.20,337.00,325.20,335.00
20170310,322.10,328.75,319.10,323.95
20170309,334.00,334.00,320.00,321.50
20170308,336.00,341.00,330.05,334.90
