FECHA,  variacion  ,dia_anterior,prom3dias,prom5dias,prom10dias,prom15dias,prom20dias,prom25dias,prom30dias,prom60dias,percentil10_90dias,percentil20_90dias,percentil30_90dias,percentil40_90dias,percentil50_90dias,percentil60_90dias,percentil70_90dias,percentil10_60dias,percentil20_60dias,percentil30_60dias,percentil40_60dias,percentil50_60dias,percentil60_60dias,percentil70_60dias,percentil10_30dias,percentil20_30dias,percentil30_30dias,percentil40_30dias,percentil50_30dias,percentil60_30dias,percentil70_30dias,percentil10_20dias,percentil20_20dias,percentil30_20dias,percentil40_20dias,percentil50_20dias,percentil60_20dias,percentil70_20dias,percentil10_15dias,percentil20_15dias,percentil30_15dias,percentil40_15dias,percentil50_15dias,percentil60_15dias,percentil70_15dias,percentil10_10dias,percentil20_10dias,percentil30_10dias,percentil40_10dias,percentil50_10dias,percentil60_10dias,percentil70_10dias,percentil10_05dias,percentil20_05dias,percentil30_05dias,percentil40_05dias,percentil50_05dias,percentil60_05dias,percentil70_05dias,minimos_03dias,minimos_05dias,minimos_10dias,minimos_15dias,minimos_20dias,minimos_25dias,minimos_30dias,minimos_60dias,maximos_03dias,maximos_05dias,maximos_10dias,maximos_15dias,maximos_20dias,maximos_25dias,maximos_30dias,maximos_60dias
20121029,-0.02,0.87,0.883333333,0.882,0.894,0.901333333,0.9045,0.9096,0.918333333,0.9845,0.87,0.89,0.9,0.916,0.945,1.014,1.063,0.87,0.89,0.9,0.916,0.945,1.014,1.063,0.87,0.89,0.9,0.916,0.945,1.014,1.063,0.87,0.89,0.9,0.916,0.945,1.014,1.063,0.87,0.89,0.9,0.916,0.945,1.014,1.063,0.87,0.89,0.9,0.916,0.945,1.014,1.063,0.87,0.89,0.9,0.916,0.945,1.014,1.063,0.89,0.89,0.92,0.95,0.95,0.95,0.98,1.12,0.89,0.89,0.92,0.95,0.95,0.95,0.98,1.12
20121030,-0.01,0.85,0.87,0.874,0.889,0.894666667,0.901,0.9064,0.914,0.980666667,0.868,0.89,0.9,0.91,0.94,1.01,1.06,0.868,0.89,0.9,0.91,0.94,1.01,1.06,0.868,0.89,0.9,0.91,0.94,1.01,1.06,0.868,0.89,0.9,0.91,0.94,1.01,1.06,0.868,0.89,0.9,0.91,0.94,1.01,1.06,0.868,0.89,0.9,0.91,0.94,1.01,1.06,0.868,0.89,0.9,0.91,0.94,1.01,1.06,0.89,0.89,0.92,0.93,0.95,0.95,0.98,1.12,0.89,0.89,0.92,0.93,0.95,0.95,0.98,1.12
20121031,0.04,0.84,0.853333333,0.868,0.883,0.888666667,0.897,0.9024,0.909333333,0.9765,0.849,0.886,0.9,0.91,0.94,0.992,1.06,0.849,0.886,0.9,0.91,0.94,0.992,1.06,0.849,0.886,0.9,0.91,0.94,0.992,1.06,0.849,0.886,0.9,0.91,0.94,0.992,1.06,0.849,0.886,0.9,0.91,0.94,0.992,1.06,0.849,0.886,0.9,0.91,0.94,0.992,1.06,0.849,0.886,0.9,0.91,0.94,0.992,1.06,0.87,0.89,0.92,0.92,0.95,0.95,0.96,1.12,0.87,0.89,0.92,0.92,0.95,0.95,0.96,1.12
20121101,0.03,0.87,0.853333333,0.864,0.878,0.886666667,0.895,0.8996,0.906333333,0.972333333,0.849,0.87,0.9,0.91,0.935,0.98,1.06,0.849,0.87,0.9,0.91,0.935,0.98,1.06,0.849,0.87,0.9,0.91,0.935,0.98,1.06,0.849,0.87,0.9,0.91,0.935,0.98,1.06,0.849,0.87,0.9,0.91,0.935,0.98,1.06,0.849,0.87,0.9,0.91,0.935,0.98,1.06,0.849,0.87,0.9,0.91,0.935,0.98,1.06,0.87,0.89,0.91,0.92,0.95,0.95,0.95,1.12,0.87,0.89,0.91,0.92,0.95,0.95,0.95,1.12
20121102,0.03,0.9,0.87,0.866,0.877,0.886666667,0.8945,0.8992,0.904666667,0.968666667,0.849,0.87,0.9,0.91,0.93,0.98,1.06,0.849,0.87,0.9,0.91,0.93,0.98,1.06,0.849,0.87,0.9,0.91,0.93,0.98,1.06,0.849,0.87,0.9,0.91,0.93,0.98,1.06,0.849,0.87,0.9,0.91,0.93,0.98,1.06,0.849,0.87,0.9,0.91,0.93,0.98,1.06,0.849,0.87,0.9,0.91,0.93,0.98,1.06,0.9,0.9,0.9,0.92,0.95,0.95,0.95,1.1,0.9,0.9,0.9,0.92,0.95,0.95,0.95,1.1
20121105,-0.03,0.93,0.9,0.878,0.88,0.888666667,0.8955,0.8992,0.904333333,0.965833333,0.849,0.87,0.9,0.91,0.93,0.98,1.053,0.849,0.87,0.9,0.91,0.93,0.98,1.053,0.849,0.87,0.9,0.91,0.93,0.98,1.053,0.849,0.87,0.9,0.91,0.93,0.98,1.053,0.849,0.87,0.9,0.91,0.93,0.98,1.053,0.849,0.87,0.9,0.91,0.93,0.98,1.053,0.849,0.87,0.9,0.91,0.93,0.98,1.053,0.93,0.93,0.93,0.93,0.95,0.95,0.95,1.1,0.93,0.93,0.93,0.93,0.95,0.95,0.95,1.1
20121107,0,0.9,0.91,0.888,0.881,0.888666667,0.893,0.8984,0.903333333,0.9625,0.849,0.87,0.9,0.906,0.93,0.98,1.05,0.849,0.87,0.9,0.906,0.93,0.98,1.05,0.849,0.87,0.9,0.906,0.93,0.98,1.05,0.849,0.87,0.9,0.906,0.93,0.98,1.05,0.849,0.87,0.9,0.906,0.93,0.98,1.05,0.849,0.87,0.9,0.906,0.93,0.98,1.05,0.849,0.87,0.9,0.906,0.93,0.98,1.05,0.93,0.93,0.93,0.93,0.93,0.95,0.95,1.1,0.93,0.93,0.93,0.93,0.93,0.95,0.95,1.1
20121108,0,0.9,0.91,0.9,0.884,0.888666667,0.8915,0.8976,0.902,0.959666667,0.849,0.87,0.9,0.9,0.925,0.974,1.043,0.849,0.87,0.9,0.9,0.925,0.974,1.043,0.849,0.87,0.9,0.9,0.925,0.974,1.043,0.849,0.87,0.9,0.9,0.925,0.974,1.043,0.849,0.87,0.9,0.9,0.925,0.974,1.043,0.849,0.87,0.9,0.9,0.925,0.974,1.043,0.849,0.87,0.9,0.9,0.925,0.974,1.043,0.93,0.93,0.93,0.93,0.93,0.95,0.95,1.1,0.93,0.93,0.93,0.93,0.93,0.95,0.95,1.1
20121109,0,0.9,0.9,0.906,0.885,0.887333333,0.8915,0.8972,0.900666667,0.957166667,0.849,0.87,0.9,0.9,0.92,0.964,1.04,0.849,0.87,0.9,0.9,0.92,0.964,1.04,0.849,0.87,0.9,0.9,0.92,0.964,1.04,0.849,0.87,0.9,0.9,0.92,0.964,1.04,0.849,0.87,0.9,0.9,0.92,0.964,1.04,0.849,0.87,0.9,0.9,0.92,0.964,1.04,0.849,0.87,0.9,0.9,0.92,0.964,1.04,0.9,0.93,0.93,0.93,0.93,0.95,0.95,1.1,0.9,0.93,0.93,0.93,0.93,0.95,0.95,1.1
20121112,-0.01,0.9,0.9,0.906,0.886,0.886666667,0.8915,0.8968,0.900333333,0.9545,0.849,0.87,0.9,0.9,0.92,0.954,1.033,0.849,0.87,0.9,0.9,0.92,0.954,1.033,0.849,0.87,0.9,0.9,0.92,0.954,1.033,0.849,0.87,0.9,0.9,0.92,0.954,1.033,0.849,0.87,0.9,0.9,0.92,0.954,1.033,0.849,0.87,0.9,0.9,0.92,0.954,1.033,0.849,0.87,0.9,0.9,0.92,0.954,1.033,0.9,0.93,0.93,0.93,0.93,0.95,0.95,1.1,0.9,0.93,0.93,0.93,0.93,0.95,0.95,1.1
