palabra,pagina,cantidad,fechaini,fechafin
elecciones,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
confian,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
buen,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
resultado,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
para,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
cambiemos,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
reduzca,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
puntito,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
tasa,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
explico,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
maril,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
gobierno,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
nacional,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
tiene,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
pendiente,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
emision,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
titulo,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
millones,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
deuda,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
nominada,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
tanto,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
euros,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
como,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
yenes,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
dentro,https://www.cronista.com/finanzasmercados/Jujuy-inicia-roadshow-para-colocar-bono-por-hasta-us-300-millones-20170906-0070.html,1,20170905,20170905
