palabra,pagina,cantidad,fechaini,fechafin
bucion,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
unos,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
millones,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
clientes,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
otro,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
caso,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
este,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
sector,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
transportadora,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
apunta,http://www.iprofesional.com/notas/260977-crecimiento-acciones-consumo-automotriz-energia-electricidad-actividad-credito-credito-hipotecario-De-Telecom-Cablevision-YPF-a-BBVA-Metrogas-y-Arcor-cuanto-dinero-saldran-a-buscar-empresas-al-mercado-para-inversiones-y-consumo,1,20180103,20180103
