palabra,pagina,cantidad,fechaini,fechafin
argada,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
visita,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
presidente,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
barack,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
obama,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
marzo,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
conmemoraba,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
nuevo,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
aniversario,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
tragico,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
golpe,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
militar,http://www.ambito.com/877921-imputan-a-macri-y-aranguren-ante-la-sospecha-de-que-favorecieron-a-empresarios-con-aumento-de-gas,1,20170402,20170402
