palabra,pagina,cantidad,fechaini,fechafin
anonima,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
edenor,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
logo,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
tipo,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
sociedad,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
anonima,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
simbolo,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
bursatil,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
nyse,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
industria,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
energia,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
fundacion,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
agosto,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
sede,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
buenos,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
aires,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
argentina,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
personas,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
clave,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
ricardo,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
torres,https://es.wikipedia.org/wiki/Empresa_Distribuidora_y_Comercializadora_Norte_Sociedad_An%C3%B3nima,1,20171002,20171002
