palabra,pagina,cantidad,fechaini,fechafin
minerals,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
processing,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
underground,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
mining,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
surface,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
mining,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
shale,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
shale,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
menu,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
home,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
resource,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
center,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
trade,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
shows,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
events,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
careers,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
classifieds,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
contact,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
advertising,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
search,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
submit,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
feature,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
stories,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
news,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
buyers,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
guide,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
business,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
spotlights,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
videos,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
advertisement,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
advertisement,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
advertisement,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
advertisement,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
advertisement,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
advertisement,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
pampa,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
energia,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
sell,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
million,https://miningconnection.com/gos/news/article/pampa_energia_to_sell_360_million_of_oil_assets_to_vista_argentina,1,20180122,20180122
